图录号(ABCD),禁止出关(BCD),中文作者,中文名称(ABCD),中文作者二,中文名称二( B),中文年代(ABC),中文材质(AB),中文签名(A),题识钤印(AB),中文出版(ABC),中文展览(ABC),中文来源(AB),中文描述(ABCD),中文纪录（BC),中文著录（B),中文款识（C),中文收藏（C),中文参阅 C,英文作者(AB),英文名称(ABCD),英文年代(ABC),英文材质(AB),英文签名(AB),英文出版(AC),英文展览(AC),英文来源(AC),英文参阅（C),尺寸(ABC),估价(ABCD)
356,,张其翼,大利图,赵申然,临碑二则,18.8×50 cm. 约0.85平尺,成扇 设色纸本,,正面：张其翼画。<br>钤印：张其翼、鸿飞楼主、古今一人<br>背面：（文略）赵申然。<br>钤印：赵申然印、悔不十年读书,,,,张其翼，北京人，早岁毕业于辅仁大学美术系，曾执教天津美术学院、河北师范学院，擅绘花鸟。《大利图》以白鼠、荔枝、莲蓬入画，敷色明丽，寓意吉庆。<br>赵申然，福建人，赵松声弟，工书法，常与名家合作。,,,,,,ZHANG QIYI AND ZHAO SHENRAN,PROPITIOUS PATTERN,,"Folding fan, ink and color on paper.","Signed Zhang Qiyi, with three seals of the artist.",,,,,18.8×50 cm. 约0.85平尺,"10,000-15,000"
357,*,齐白石,红菊蚂蚱,张伯英,段文昌《武侯庙古柏》,18.4×50 cm. 约0.83平尺,成扇 设色纸本、水墨发笺,,正面：绍儒仁兄雅属，齐璜白石。<br>钤印：白石老人<br>背面：（文略）段文昌《武侯庙古柏文》。癸未（1943年）夏五，为绍儒先生属，张伯英。<br>钤印：张伯英、勺圃,《古董拍卖投资图典·扇画》第160页，湖北美术出版社，2006年12月,,,《红菊蚂蚱》未署年款，依照画风及题款判断，应与背面张伯英书法年代相近，为上世纪40年代前期所作。此时老人已年近八旬，正值其艺术盛期，画此小品亦有千钧之力。<br>画中两茎菊花横置于前，枝叶青翠，花朵娇艳，水分饱满，一只蚂蚱伏于花苞之上，仿佛在嘬饮露水。笔墨极为讲究，菊叶用墨重勾淡染，粗看簇簇绿叶墨色淋漓，细审则茎叶脉络丝毫不乱。红菊千叶重瓣，以洋红勾写花瓣，继而薄染淡红，前实后虚，既作变化，又富景深。整体布局疏密有致，左下的花头与右上的叶子平衡了画面，题款占据右上角，正所谓疏可走马、密不透风。<br>齐白石喜绘菊花，曾言“老萍最喜餐菊，屡写真，能得神似，居于京师，同趣者皆莫及”，自得之情溢于言表。此箑笔力浑厚，墨沈淋漓，红菊如见秋色，蚂蚱若闻秋声，满纸烂漫，一片天真。,北京拍卖会，2004年11月8日，编号1244,,,,,QI BAISHI AND ZHANG BOYING ,RED DAISY,,"Folding fan, ink an color on paper, ink on paper.","Signed Qi Huang, with a dedication and one seal of the artist.",,,,,18.4×50 cm. 约0.83平尺," 450,000-550,000"
358,,俞 明,柳阴停桡,陈文无,五言诗二首,19.2×52 cm. 约0.9平尺,成扇 设色纸本,,正面：仿北宋人施色，写初夏之即景，应奉弱余先生大雅之属，即乞正之。甲子（1924年）清和月二十有六日，涤烦。<br>钤印：俞<br>背面：（文略）壬寅（1962年）九日，弱余先生雅属，文无。<br>钤印：陈、文无,,“虚怀斋藏中国书画精品展”，保利艺术博物馆，2010年11月3日至8日，并出版于展览画册第248页,,与编号322拍品为同一上款，上款“弱余”即沈莱舟。<br>陈文无，名珂，江苏江阴人。工书画，山水、人物、花鸟皆能，精篆书，亦擅诗词、古琴。,苏富比香港，1994年5月5日，编号917,,,,,YU MING AND CHEN WENWU ,BOATING,,"Folding fan, ink and color on paper.","Signed Difan, with a dedication and one seal of the artist.",,,,,19.2×52 cm. 约0.9平尺," 50,000-70,000"
359,,陈少梅,竹溪高士,兆 成,《木兰花慢·吊屈原》,19×50.6 cm. 约0.87平尺,成扇 设色纸本,,正面：□□仁兄雅教，甲申（1944年）四月，少梅陈云彰。<br>钤印：云彰长寿、少梅画印<br>背面：（文略）《木兰花慢·吊屈原》。读先父诗稿，敬录以志思念，兆成于津。,,,,,,,,,,CHEN SHAOMEI AND ZHAO CHENG ,SCHOLAR,,"Folding fan, ink and color on paper.","Signed Chen Yunzhang, with two seals of the artist.",,,,,19×50.6 cm. 约0.87平尺," 280,000-350,000"
360,,俞明,闲对芭蕉起相思,李健,节临《淳化阁帖》,19.8×54 cm. 约0.96平尺,成扇 设色纸本,,正面：拟晓楼外史笔墨，济民先生大雅正之，甲子（1924年）长夏，涤烦。 钤印：俞、镜人<br>背面：（文略）锡龄先生出箑属书，因杂临家藏宋拓阁帖以报命，此箑一面为俞涤烦先生为刘济民先生缋仕女，锡龄先生见而爱之，济民先生即以赠之，颇有古君子之风矣，因并记之。鹤然居士李健。 钤印：中乾,,,,,,,,,,YU MING AND LI JIAN,LADY SEATED BY THE BAMBOO,,"Folding fan, ink and color on paper.","Signed Difan, with a dedication and two seals of the artist.",,,,,19.8×54 cm. 约0.96平尺,"30,000-40,000"
361,,胡佩衡,书画合璧扇,,,18.8×49 cm. 约0.83平尺,成扇 水墨绢本、水墨洒金笺,,正面：巉岩错落石纵横，养到心平境自平。更喜路深林茂密，茅堂一卷耐余生。戊寅立夏节，冷庵胡佩衡并题。<br>钤印：胡佩衡印、冷庵<br>背面：奇峰倒映青冥立，绝壑高悬白雾开。万里无云见秋末，千林有雨向春回。蓬山半为白云遮，琼树都成绮树花。闻说至人求道远，丹砂原不在天涯。南游雁荡北居庸，历历青山在眼中。今日不胜惆怅处，马头黄叶又秋风。万壑霜飞木叶丹，石桥流水暮生寒。却疑二月天台里，一路桃花照马鞍。佩衡书于燕京。 钤印：衡,,,,,,,,,,HU PEIHENG ,PAINTING AND CALLIGRAPHY,1938,"Folding fan, ink on silk, ink on gold-flecked paper.","Signed Hu Peiheng, dated wuyin,1938, with two seals of the artist.",,,,,18.8×49 cm. 约0.83平尺," 8,000-10,000"
362,,萧俊贤,江岸幽居,张伯英,李白诗二首,18.8×51 cm. 约0.86平尺,成扇 设色纸本,,正面：净念楼仿关长安，天和逸人萧俊贤时年七十有二，丙子（1936年）三月。 钤印：铁夫 收藏印：栌溪山房<br>背面：张翰江东去，正值秋风时。天清一雁远，海阔孤帆迟。白日行欲暮，沧波杳难期。吴洲如见月，千里幸相思。牛渚西江夜，青天无片云。登舟望秋月，空忆谢将军。余亦能高咏，斯人不可闻。明朝挂帆去，枫叶落纷纷。姚惜抱谓太白：以飞动票姚之势，运旷远奇逸之思，于律体中自成一境。彭城张伯英。 钤印：英,,,,扇骨为沈筱庄雕制，沈筱庄，江苏泰州人，久寓苏州，擅微雕竹刻。,,,,,,XIAO JUNXIAN AND ZHANG BOYING,RECLUSION,,"Folding fan, ink and color on paper.","Signed Xiao Junxian, with one seal of the artist and one seal of the collector.",,,,,18.8×51 cm. 约0.86平尺," 30,000-40,000"
363,*,溥心畬,雪江艇子,马公愚,书论一则,18.5×49 cm. 约0.82平尺,成扇 设色纸本,,正面：千山鸟飞绝，万境人踪灭。孤舟蓑笠翁，独钓寒江雪。心畬。<br>钤印：溥儒之印、垂虹、缕烟前雾<br>背面：汀洲分书有静穆之致，妙处在拙，固当胜完白之作态。其志欲参篆意于分，以成古隶。虽未入古，正复绝俗，然非能参分之成也。马公愚。<br>钤印：公愚书画、冷翁、书画传家二百年,,,,,,,,,,PU XINYU AND MA GONGYU,FISHING IN WINTER RIVER,,"Folding fan, ink and color on paper.","Signed Xinyu, with three seals of the artist.",,,,,18.5×49 cm. 约0.82平尺," 60,000-80,000"
364,,陆抑非、江寒汀、王福厂等,书画集锦扇,,,18.3×48 cm. 约0.79平尺,成扇 设色纸本、水墨洒金笺,,正面：1.（文略）壬午仲冬，临楚余义钟文。颂椒先生法家属，福厂王禔。2.颂椒仁兄法家正之，壬午立秋日，寒汀。 钤印：王禔、福厂六十后书、麋研斋、江荻<br>背面：1.（文略）颂椒先生清正，壬午大雪，七十叟童大年临敦文。2.颂椒先生雅属，壬午秋，抑非。<br>钤印：童大年、陆翀,,,,拍品系1942年陆抑非、江寒汀、王福厂、童大年为姚颂椒所作集锦扇。一面江寒汀画黄雀捕螳螂，王福厂临《楚余羲钟》铭文；另面陆抑非绘荷塘蛙趣，童大年临《师遽敦》铭文。画者皆为海上花鸟大家，落笔妙趣生动皆有之，书者同为金石名手，书风精严，格调朴茂。<br>上款“颂椒”即姚颂椒（1884-1974），浙江嘉兴人。医术闻名于时，擅书画。<br>扇骨为扬州竹刻名家郑小西雕制。,,,,,,"LU YIFEI, JIANG HANTING, WANG FU'AN AND TONG DANIAN ",PAINTING AND CALLIGRAPHY,1942,"Folding fan, ink and color on paper, ink on gold-flecked paper.","Signed Wang Ti and Hanting, with four seals of artists.",,,,,18.3×48 cm. 约0.79平尺,"30,000-40,000"
365,,唐云、江寒汀、钱瘦铁等,书画集锦扇,,,18.6×51 cm. 约0.86平尺,成扇 水墨纸本,,正面：张石园、钱瘦铁、陈运彰、江寒汀题识、钤印皆略。<br>背面：孙更贯、若瓢、馨宇、唐云题识、钤印皆略。,,,,拍品为1942年八位海上书画家合写。一面由钱瘦铁画寒梅傲放，江寒汀绘幽谷兰花，张石园、陈运彰分录陈与义《画梅》、《墨戏二首·兰》；另面若瓢画风竹，唐云写墨菊，孙更贯录李日华诗四首，馨宇书《菊酒》一首。是箑全以水墨写就，集梅、兰、竹、菊“四君子”于一堂，书法则行楷相间，主题与画一一对应，格调清雅，配合无间。,,,,,,"TANG YUN, JIANG HANTING AND OTHER ARTISTS ",PAINTING AND CALLIGRAPHY,1942,"Folding fan, ink on paper.","Signed by Zhang Shiyuan, Jiang Hanting and other artists, with four seals of artists.",,,,,18.6×51 cm. 约0.86平尺," 60,000-80,000"
366,*,溥心畬、启功、溥佺、溥佐,书画集锦扇,,,18.5×51 cm. 约0.85平尺,成扇 设色纸本、水墨洒金笺,,正面：溥佐、启功、溥佺、溥心畬题识、钤印皆略。<br>背面：溥心畬、溥佺、启功、溥佐题识、钤印皆略。,,,,是扇为一面为启功画秋江帆影、溥心畬绘松阴高士，间以溥佺、溥佐书古诗，另面则同作者书画互换。四人皆为逊清宗室，分别书一面、画另面，甚为难得，此种搭配仅见于松风画会成员所作集锦扇中，或为雅集时交流切磋之作，颇值赏玩。,,,,,,"PU XINYU, QI GONG, PU QUAN AND",PU ZUO PAINTING AND CALLIGRAPHY,,"Folding fan, ink on gold-flecked paper.","Signed Pu Zuo, Qi Gong, Pu Quan and Xinyu, with five seals of artists and one seal of the collector.",,,,,18.5×51 cm. 约0.85平尺,"30,000-40,000"
367,*,齐白石、王雪涛、李苦禅、汪慎生,花鸟集锦扇,,,18×50 cm. 约0.81平尺,成扇 设色纸本,,正面：1.苦禅。2.白石。 钤印：苦、禅、木人<br>收藏印：善哉扇斋之宝、文章有神交有道、善哉扇斋百宝之一<br>背面：1.雪涛写。2.汪溶。 钤印：迟园、雪涛长寿、慎生<br>收藏印：善哉扇斋之宝、黄天才藏扇,,,,著名成扇收藏家黄天才旧藏。<br>是箑以白宣和洒金笺相间，齐白石、李苦禅、王雪涛、汪慎生四家分别在白宣上绘雁来红、苍松、桃实仙寿、秋荷蜻蜓，皆为上乘之作，精妙绝伦。集此四位北京最著名的写意花鸟画家于一扇，相当难得，可堪珍重。,北京拍卖会，2006年11月22日，编号1450,,,,,"QI BAISHI, WANG XUETAO, LI KUCHAN AND WANG SHENSHENG ",FLOWERS AND BIRDS,,"Folding fan, ink and color on paper.","Signed Kuchan, Baishi, with three seals of the artists and three seals of the collector.",,,,,18×50 cm. 约0.81平尺," 100,000-150,000"
368,,吴湖帆，冯超然，赵叔孺等,书画集锦扇,,,18.8×50.5 cm. 约0.86平尺,成扇 设色纸本、水墨洒金笺,,正面：沈卫、吴湖帆、叶尔恺、赵叔孺题识、钤印皆略。<br>背面：高振霄、冯超然、张启后、吴徵题识、钤印皆略。,,,,拍品作于1942年，为吴湖帆、冯超然、赵叔孺、吴徵、沈卫、叶尔恺、高振霄、张启后八位海上书画家为包伯宽合写。<br>是箑一面为吴湖帆画莲塘一隅，赵叔孺绘柳阴骏马，沈卫录姜夔《惜红衣》词，叶尔恺杂钞；另面为冯超然绘沧浪濯足，吴徵画云山静流，高振霄临《师遽簋》铭，张启后临《曹全碑》，绘画题材各不相同，诸家各擅胜场，山水、人物、花鸟、走兽兼备，俱为精妙；书家均为逊清翰林，真、行、篆、隶四体俱全，气格不凡，集此一扇，颇为难得。<br>吴湖帆绘其最为著称之没骨荷花，荷叶清隽，荷花娇嫩，雍容而不失清丽;右侧为沈卫所录姜夔词“吴兴号水晶宫，荷花盛丽。陈简斋云：今年何以报君恩，一路荷花相送到。”词意与画境相映，雅趣自生。冯超然则取“濯足沧浪”典故，耸峙的高崖飞瀑之间，高士临流而坐，袒胸露乳，正抬足欲探入水中，人物描绘极精，须发分明，神情睥睨，尽显高洁出世之姿。赵叔孺所绘骏马是其极受推重的题材，气韵高古，骏马皮毛描绘工致，极富体量感，栩栩如生。吴徵山水则高远与深远兼备，笔墨朴茂苍厚，气象万千。狭窄的条格间，每幅均有大作境界，蔚为可观。<br>上款“伯宽”即包伯宽（1899-？），号味茶，浙江鄞县人。曾任上海市钟表商业同业公会理事，擅书法篆刻，为中国金石篆刻研究社社员，喜收藏。,（香港）荣宝斋、协联古玩拍卖会，1995年5月22日，编号426,,,,,"WU HUFAN, FENG CHAORAN,ZHAO SHURU AND OTHER ARTISTS",PAINTING AND CALLIGRAPHY,1942,"Folding fan, ink and color on paper, ink on gold-flecked paper.","Signed Shen Wei, Wu Hufan, Ye Erkai and Zhao Shuru, dated renwu,1942, with a dedication and six seals of artists.",,,,,18.8×50.5 cm. 约0.86平尺," 400,000-500,000"
369,*,黄宾虹,书画合璧扇,,,18.4×50 cm. 约0.83平尺,成扇 设色纸本、水墨洒金笺,,正面：画以古厚沉着为上，纤弱即不入鉴。培风先生属，丙戌，宾虹年八十三。<br>钤印：黄宾虹<br>背面：春雨鸣山渠，流云度高木。萧然环堵中，图书盈蔀屋。适此林壑趣，顿忘嚣市俗。拂我膝上琴，再弄山水曲。空亭悬晚照，万壑点新霜。何处传书雁，南来细作行。题画诗。培风宗台先生属，八十三叟宾虹。<br>钤印：黄宾虹,,,,黄宾虹自1937年由上海迁居北平，1948年方得南归杭州。在北平的十一年，他完成了向“黑宾虹”的转变，确立起自己屹立画史的黑、密、厚、重的基本山水面目。拍品作于1946年，展示出的正是这种面目的确立。<br>是箑正面绘江岸舟行之景，构图在左山右水的基础上加以变化，颇具新意。留白表现的水面将扇面区隔成几个空间，左侧山峦下方一径长廊临水而筑，一位高士安坐读书，另一位临流抚琴。山上一片蓊郁，混沌难辨，红树点缀其间，暗示秋天的季节。远山以淡花青辅以淡墨绘就，层层迭迭，渺远无边。江中舟楫正在饱帆前行，右侧江面上两座小岛，亦是一片草木华滋之象。<br>黄宾虹认为，要表现出山水的光辉，第一要紧的就是把墨使足，摆脱元以后干墨皴擦的习气，进行墨法革命。画中之山，在层层色墨积染的同时，强调积墨的水渍效果，做到“墨泽中间浓丽而四边淡开，得自然之圆晕，笔迹墨痕，跃然纸上。如此层层积染，物象可以浑厚滋润，且墨华鲜美，亦如永远不见其干者。”由于强调墨华鲜美的层层积染，才能兼得气韵生动与静穆之致。<br>是箑作为典型的“黑宾虹”面目，亦还体现出画家对虚白的妙用。他曾在《自题山水》中强调过画面的虚实之理：“岩岫杳冥，一炬之光，如眼有点，通体皆虚；虚中实，可悟化境。”画中山石岛屿用色极重，而水面则以大面积留白穿插其间。对这种空白，潘天寿评论曰：“黄宾虹先生晚年的山水，往往千山皆黑，竟是黑到满幅一片，然而满片黑中往往画些房子和人物，所画的房子和房子四周都是很明亮的。……这就是利用空白点使主题点突出的办法。”留白的水面使得混沌的山峦岛屿陡然虚灵起来，而水榭连廊、观湖高士、江中舟楫等实物，又“虚中有实”，虚实的穿插交错，令全作迷离浑厚，进乎幽深之境。<br>此扇背面书五言题画诗一首，句意与正面绘画完全相契，自是画家精心安排，洵为可贵。,,,,,,HUANG BINHONG,PAINTING AND CALLIGRAPHY,1946,"Folding fan, ink and color on paper, ink on gold-flecked paper.","Signed Binhong, dated bingxu,1946, with a dedication and one seal of the artist.",,,,,18.4×50 cm. 约0.83平尺," 700,000-900,000"
370,*,黄宾虹,极浦归帆,,,19×50 cm. 约0.86平尺,成扇 水墨纸本,,题识：荦士姻兄属粲，宾虹。<br>钤印：黄,,,,黄宾虹的笔墨试炼与面貌丰富多样，即便是上世纪四十年代初“黑宾虹”风格奠定的关键时期，他的笔下仍然存在简繁两体的图式，尤以简笔画数量居多。是箑未署年款，笔简意远，颇得倪云林神韵，根据笔墨风格与款识推断，应为四十年代初期所作。<br>扇面取一溪两岸式构图，近处岸渚上枯木虬曲，天空与江面皆以留白处理，江水明澈，天高无云，船只正扬帆驶向远方。全画纯用水墨写就，淡墨勾染，焦墨皴点，远近层次丰富，极尽浓淡干湿之黑白变化；跃动的线条和丰富的点苔，展现出画家深厚的笔力，灵气满溢而不流于轻浮，用笔用墨皆臻妙境，呈现出一片清旷辽远之境。<br>黄宾虹曾评画的简繁之道：“先习繁笔，理法明晰，而后聚精会神，神气团结，极简之处，而有极繁之意行乎其间，加之真力弥漫，气象雄厚，挂之堂上，使人惊倒……”他的简笔画正是基于坚深的繁笔功底，傅雷认为有“元人风度”，“然其豪迈活泼，又出元人蹊径之外。用笔纵逸，自造法度故尔。”是箑可见诚不虚言！,,,,,,HUANG BINHONG ,SAILING IN THE RIVER,,"Folding fan, ink on paper.","Signed Binhong, with a dedication and one seal of the artist.",,,,,19×50 cm. 约0.86平尺," 50,000-70,000"
371,,启功,书画合璧扇,,,18.5×50.5 cm. 约0.84平尺,成扇 水墨纸本,,正面：石如飞白木如籀，写竹还于八法通。若也有人能会此，须知书画本来同。赵子昂句，叔宪同志正之，启功学画。 钤印：元白<br>背面：玉露凋伤枫树林，巫山巫峡气萧森。江间波浪兼天涌，塞上风云接地阴。丛菊两开他日泪，孤舟一系故园心。寒衣处处催刀尺，白帝城高急暮砧。功盖三分国，名成八阵图。江流石不转，遗恨失吞吴。叔宪同志正，启功。 钤印：元白,,,,,,,,,,QI GONG ,PAINTING AND CALLIGRAPHY,,"Folding fan, ink on paper.","Signed Qi Gong, with a dedication and one seal of the artist.",,,,,18.5×50.5 cm. 约0.84平尺,"60,000-80,000"
372,*,黄宾虹,江舟闲话,启 功,节临《十七帖》,19.5×53.5 cm. 约0.94平尺,成扇 设色纸本,,正面：古人论文，必曰力能扛鼎，王司农自称笔下金刚杵，可悟画以雅健为宗。宾虹。 钤印：黄宾虹<br>背面：瞻近无缘省苦，但有悲叹。足下小大悉平安也。云卿当来居，此喜迟不可言，想必果言苦有期耳。亦度卿当不居京，此既避，又节气佳，是以欣卿来也。此信旨还具示问。天鼠膏治耳聋有验不？有验者乃是要药。临馆本《十七帖》。启功。 钤印：简靖堂、启功长寿、元白居士、苑北草堂,,,,《江舟闲话》未署年款，依画面、款识判断为1940年代中后期所作。画绘一江两岸，构图疏朗有致。斜向的江水将画面分隔为两个部分，右下角的近景坡石上杂木遍生，茂密葱茏，一亭掩映其间。江中小舟上，艄公正摆渡二位高士往对岸而去，似去探访幽居江畔的友人。对岸山前台地平缓，几间房舍背山面水，坐落于林木环抱之间，其上山岩嶙峋起伏，绵延向远方，渺茫无尽。<br>1940年代中后期，“黑宾虹”面貌已逐渐成型，这一时期画家兼有简淡与浓重两种风格，是箑当属前类。拍品赋色雅致，气息沉静，而笔致错落纵逸，又分明有度，风格高标。正如《宾虹画语录》中云：“用笔有度，皴与皴相错而不相乱，皴与皴相让而不相碰。古人言书法，尝有担夫争道之喻。盖担夫膊能承物。既有其力……虽彼来此往，前趋后继，不致相碰。此用笔之妙契也。”山石轻敷赭色，进而反复皴染，颇具“丹青隐墨，墨隐丹青”之致。台地则以淡绿色衬托，简疏清朗。画面中为数不多的浓墨用以点厾树叶苔点，提振精神。拍品整体风格清逸可掬，正宾翁自题“雅健为宗”之旨。,,,,,,HUANG BINHONG AND QI GONG ,BOATING IN THE RIVER,,"Folding fan, ink and color on paper.","Signed Binhong, with one seal of the artist.",,,,,19.5×53.5 cm. 约0.94平尺," 300,000-400,000"
373,,罗振玉,临甲骨卜辞,,,19.5×56 cm. 约0.98平尺,成扇 水墨纸本,,释文：（文略）沈盦宫保诲正，罗振玉模殷虚文字。<br>钤印：罗振玉印,,,,上款“沈盦”即宝熙（1871-1942）清宗室，光绪十八年（1892）进士，历任编修、侍读、国子监祭酒，内阁学士等职。民国后曾任溥仪的内务府大臣，溥仪出紫禁城后，他与罗振玉等人共任清室善后委员会委员，办理清室善后事宜。工诗文，擅书。,,,,,,LUO ZHENYU ,CALLIGRAPHY,,"Folding fan, ink on paper.","Signed Luo Zhenyu, with a dedication and one seal of the artist.",,,,,19.5×56 cm. 约0.98平尺," 8,000-10,000"
374,,姚华,六十家词摘句印蜕,,,19.5×51.6 cm. 约0.91平尺,成扇 水墨纸本,,正面：六十家词摘句印，莲花盦刻。（文略）<br>背面：（文略）右印是十年前摘取宋名家词之四言而随刻之，所摘句皆别纸记之。今病废不能奏刀，乃觉此刻难得，爰补记所出而擫之扇头自赏焉。“一不为少”一印，则病废以后，五儿鐜为扶石于案，始以孤臂行之。（今）鐜已逝去一年矣。庚午四月，莲花盦残臂倚檠记，茫茫父。<br>钤印：芒父,,,,是箑为姚华钤“六十家词摘句印”廿四方而成。“六十家词”即《宋六十名家词》，明代毛晋编纂刊刻，流传极广，是研究词学的重要著作。姚华在1920年代曾摘取此书部分四言词句治成闲章，共廿四方，其中“一不为少”印系1926年姚氏因脑溢血左臂致残后，由五子姚鐜代刻。<br>此扇成于1930年4月，距画家去世仅一月有余，彼时已无力奏刀，愈感前作难得，故钤于一箑，并在印蜕下一一以小字题注出处，自赏自玩，极富文人雅趣。拍品正面钤印十三方，分别出自晏殊、欧阳修、柳永、苏轼、黄庭坚、秦观、晏几道、毛滂、陆游、辛弃疾、周邦彦、向子諲、谢逸十三家词；背面钤印十一方，系节选曾觌、戴复古、杨无咎、葛胜仲、黄公度、吴文英、赵长卿、赵师侠、洪瑹、张元干词句而成，另有“高养吾慵”一印，姚氏题为失记，今查应出自葛胜仲《满庭芳》。<br>姚华长于戏曲、书画，亦精通诗词、篆刻，堪称全才。《左传》云“众怒难犯，专欲难成，合二难以安国，危之道也。”后以“二难”喻指两件难以达成的事，此扇集姚华之篆刻艺术、诗词审美于一炉，二难兼并，堪称其传世作品之别格，极富风雅意趣。,,,,,,YAO HUA ,SEALS AND CALLIGAPHY,1930,"Folding fan, ink on paper.","Signed Lianhua'an, with thirteen seals of the artist.",,,,,19.5×51.6 cm. 约0.91平尺,"5,000-7,000"
375,,张海若拓，寿石工题,颖拓伯旂鼎,高振霄,节录《朱巨川告身》,23×69 cm. 约1.4平尺,成扇 设色纸本,,正面：1.伯旂鼎。伯旂作宝鼎五字铭，海若临拓。2.（寿石工题，文略）海若字拟《经石峪》，颖拓喜摹武梁祠像，此貌鼎彝不多见，寿玺记。<br>钤印：张海若、海若六十后临拓、印丐题跋、珏厂之诗、寿<br>背面：（文略）辛巳（1941年）秋日，高振霄。<br>钤印：振霄、甲辰翰林、烈日青霜,,,,,,,,,,"ZHANG HAIRUO, SHOU SHIGONG AND GAO ZHENXIAO ",RUBBING AND CALLIGRAPHY,,"Folding fan, ink and color on paper.","Signed Hairuo, annotation by Shou Shigong, with five seals of the artists.",,,,,23×69 cm. 约1.4平尺,"5,000-7,000"
376,,谢无量,自作诗《丁亥春寒即事》,施孝长,松亭独往,18.5×50.5 cm. 约0.84平尺,成扇 水墨洒金笺、设色纸本,,正面：二月江城尚鹖冠，生事悠悠秖画墁。尽说齐人知管晏，不闻唐世放共驩。行怜罔两终朝待，味到醯鸡彻体酸。大地阳回看有日，春风新入总严寒。丁亥春寒即事，静僧老兄正句，无量。<br>背面：丁亥夏，写似静僧老兄粲正，宋丁施孝长。<br>钤印：施孝长六十岁后所作,,,,施孝长，字教长，号宋丁，江苏溧阳人，久居四川成都。擅绘画，曾参与创办成都艺术学院，先后任教于重庆艺专、成都师范大学等。,,,,,,XIE WULIANG AND SHI XIAOCHANG,CALLIGRAPHY,1947,"Folding fan, ink and color on gold-flecked paper, ink and color on paper.","Signed Wuliang, dated dinghai,1947, no seals.",,,,,18.5×50.5 cm. 约0.84平尺," 60,000-80,000"
377,*,吴湖帆,节录戴熙《画絮》,秦清曾,溪山渔隐,18.6×51.2 cm. 约0.86平尺,成扇 水墨洒金笺、设色纸本,,正面：书因乎笔，画因乎楮。楮有涩、滑之不同，画乃有苍茫、淹润、灵妙、朴古各种，皆因其势而利导之，行乎不得不行者也。戴文节公《画絮》。庚辰夏日，庆元先生雅正，吴湖帆。 钤印：倩盦<br>背面：溪山渔隐。赵鸥波有此图。庚辰仲夏，拟为庆元仁兄雅正，秦清曾写于锄彝斋。 钤印：清曾、家学、冰壶子,,,,,,,,,,WU HUFAN AND QIN QINGZENG ,CALLIGRAPHY,1940,"Folding fan, ink on gold-flecked paper, ink and color on paper.","Signed Wu Hufan, dated gengchen,1940, with a dedication and one seal of the artist.",,,,,18.6×51.2 cm. 约0.86平尺," 50,000-70,000"
378,,白 蕉,自作诗,马公愚,秋兴,18×50.5 cm. 约0.82平尺,成扇 水墨纸本、设色纸本,,正面：老子抽豪纸有声，娇儿问岁更论兵。已知平贼须臾事，许我从容笔阵新。壬寅（1962年），书近作绝句，为柏英先生两政，白蕉。 钤印：白蕉印信、书我自书<br>背面：秋兴。柏英先生大雅属，马公愚写于耕石簃。<br>钤印：公愚书画、冷翁、耕石簃,,,,,,,,,,BAI JIAO AND MA GONGYU ,CALLIGRAPHY,,"Folding fan, ink on paper, ink and color on paper.","Signed Bai Jiao, with a dedication and two seals of the artist.",,,,,18×50.5 cm. 约0.82平尺," 50,000-70,000"
379,,王福厂,篆隶三种,房榴仙,喜从天降,18.1×51 cm. 约0.83平尺,成扇 水墨纸本、设色纸本,,正面：1.心胆澄澈欲仙去，神思飞越散人怀。张炎《少年游》。2.甲戌，王在周康昭宫。旦，王格大室，即位。宰引入门中廷。氏受命书。呼史虢生册命颂。节《颂敦文》。3.（文略）《史颂敦文》。癸未（1943年），福厂王褆。 钤印：福厂六十岁后书、寄情于此，但求平正<br>背面：壬午年（1942）新秋，宗海先生雅正，兰陵女史房榴仙作。<br>钤印：房榴仙,,,,房榴仙，江苏常州人，擅画。,,,,,,WANG FU'AN AND FANG LIUXIAN,CALLIGRAPHY,,"Folding fan, ink on paper, ink and color on paper.","Signed Wang Ti, with three seals of the artist.",,,,,18.1×51 cm. 约0.83平尺," 10,000-15,000"
380,,赵叔孺,杂钞,李宣龚,自作诗三首,18.3×51 cm. 约0.84平尺,成扇 水墨发笺,,正面：旧有通义庵在轧溪之上，宋咸淳间，海会呐庵信禅师行化说法之地。至元甲申，清庵居士潘公华愿舍所居之址，规以建庵。似京似仁兄正之，赵时棡。<br>钤印：时棡信玺、大雅<br>背面：（文略）京似先生教正，宣龚。<br>钤印：李宣龚、墨巢、还栝轩,,,,上款“京似”即沈京似（1897-1988），江苏淮安人。民国时期沪上银行家，精鉴藏，曾任江苏省博物馆审定委员。亦精烹饪，著有《菜谱集锦》。,,,,,,ZHAO SHURU AND LI XUANGONG,CALLIGRAPHY,,"Folding fan, ink on paper.","Signed Zhao Shigang, with two seals of the artist.",,,,,18.3×51 cm. 约0.84平尺," 10,000-15,000"
